sex,fb,email_domain,associations,words,badwords,abuse
,0,mail.ru,1,0,0,0
F,1,mail.ru,1,0,0,0
,0,mail.ru,1,0,0,0
F,1,,1,0,0,0
F,1,rambler.ru,1,0,0,0
M,1,mail.ru,1,0,2,0
M,1,yandex.ru,1,0,0,0
F,1,yandex.ru,1,0,0,0
,0,mail.ru,1,0,0,0
F,1,mail.ru,1,1,0,0
F,1,yandex.ru,1,0,0,0
M,1,komplektuem.ru,1,1,0,0
M,1,,1,0,0,0
M,1,gmail.com,1,0,0,0
,0,gmail.com,1,0,0,0
F,1,mail.ru,1,0,0,0
,0,gmail.com,1,0,0,0
F,1,email.ua,1,0,0,0
M,1,ukr.net,1,0,0,1
F,1,,1,0,0,0
M,1,gmail.com,1,0,0,0
F,1,,1,0,0,0
M,1,mail.ru,1,0,0,0
M,1,gmail.com,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,,1,0,0,0
F,1,,1,0,0,0
M,1,mail.ru,1,0,0,0
,0,inbox.ru,1,0,0,0
F,1,,1,0,0,0
F,1,,1,0,0,0
M,1,gmail.com,1,0,0,0
F,1,mail.ru,1,0,0,0
M,1,mail.ru,1,0,0,0
F,1,,1,0,0,0
F,1,mail.ru,1,0,0,0
F,1,mail.ru,1,0,0,0
F,1,gmail.com,1,0,0,0
,0,bk.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,2,0
,0,mail.ru,2,1,0,0
F,1,mail.ru,2,0,0,0
,0,yandex.ru,2,1,0,0
F,1,gmail.com,2,0,0,0
,0,mail.ru,2,0,0,0
,0,yandex.ru,2,1,0,0
F,1,gmail.com,2,0,2,0
F,1,yandex.ru,2,0,0,0
,0,mail.ru,2,0,0,0
M,1,bk.ru,2,0,0,0
M,1,ukr.net,2,0,0,0
,0,mail.ru,2,0,0,0
F,1,yandex.ru,2,1,0,0
,0,mail.ru,2,0,2,0
,0,mail.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,mail.ru,2,1,0,0
M,1,yandex.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,2,0
M,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,0,0
F,1,mail.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,yandex.ru,2,0,0,0
,0,mail.ru,2,0,0,0
F,1,pisem.net,2,0,0,0
,0,tut.by,2,0,0,0
M,1,gmail.com,2,0,2,0
F,1,gmail.com,2,0,2,0
,0,yandex.ru,2,1,0,0
M,1,yandex.ru,2,0,0,0
